#,Category ID(Not Change),Product ID(Not Change),Product Code(Not Change),Product Category(Not Change),Product Name(Not Change),Quantity*,Unit price*,Total Price
75,2,15,PACID19120009,Package Refill ,Refill  45[ OMERA ],0,3170,
76,1,16,PACID19120009,Package Empty Cylinder,Empty Cylinder 45[ OMERA ],0,2370,
77,2,17,PACID19120010,Package Refill ,Refill  12[ BM ],241,900,
78,1,18,PACID19120010,Package Empty Cylinder,Empty Cylinder 12[ BM ],241,500,
79,2,19,PACID19120011,Package Refill ,Refill  33[ BM ],7,2370,
80,1,20,PACID19120011,Package Empty Cylinder,Empty Cylinder 33[ BM ],7,1500,
81,2,21,PACID19120012,Package Refill ,Refill  45[ BM ],2,3170,
82,1,22,PACID19120012,Package Empty Cylinder,Empty Cylinder 45[ BM ],2,2300,
83,2,23,PACID19120013,Package Refill ,Refill  12[ TOTAL ],50,900,
84,1,24,PACID19120013,Package Empty Cylinder,Empty Cylinder 12[ TOTAL ],50,500,
85,2,64,PACID19120014,Package Refill ,Refill  15[ TOTAL ],10,1115,
86,1,65,PACID19120014,Package Empty Cylinder,Empty Cylinder 15[ TOTAL ],10,700,
87,2,25,PACID19120015,Package Refill ,Refill  33[ TOTAL ],2,2375,
88,1,26,PACID19120015,Package Empty Cylinder,Empty Cylinder 33[ TOTAL ],2,1500,
89,2,27,PACID19120016,Package Refill ,Refill  45[ TOTAL ],0,3170,
90,1,28,PACID19120016,Package Empty Cylinder,Empty Cylinder 45[ TOTAL ],0,2300,
91,2,29,PACID19120017,Package Refill ,Refill  12[ PETROMAX ],394,900,
92,1,30,PACID19120017,Package Empty Cylinder,Empty Cylinder 12[ PETROMAX ],394,500,
93,1,32,PACID19120018,Package Empty Cylinder,Empty Cylinder 35[ PETROMAX ],,,
94,1,34,PACID19120019,Package Empty Cylinder,Empty Cylinder 45[ PETROMAX ],,,
95,2,33,PACID19120019,Package Refill ,Refill  45[ PETROMAX ],,,
96,1,36,PACID19120020,Package Empty Cylinder,Empty Cylinder 12[ PADMA ],25,500,
97,2,35,PACID19120020,Package Refill ,Refill  12[ PADMA ],25,900,
98,1,38,PACID19120021,Package Empty Cylinder,Empty Cylinder 12[ UNIGAS ],,,
99,2,37,PACID19120021,Package Refill ,Refill  12[ UNIGAS ],,,
100,1,67,PACID19120022,Package Empty Cylinder,Empty Cylinder 35[ UNIGAS ],,,
101,2,66,PACID19120022,Package Refill ,Refill  35[ UNIGAS ],,,
